"","Full.Name","Place","Tires","Car.Make","Car.Model","Car.Year","Course","Run","Time","Run.Rank"
"207","Robin Newborg",30,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R1",73.35,3
"208","Alex Bronson",31,"Bridgestone","Ford","Focus ST",2016,"C2","R1",71.659,3
"209","Chad Freeman",32,"Bridgestone","Honda","Civic SI",2018,"C2","R1",72.793,3
"210","Daniel Sato",33,"Bridgestone","Honda","Civic SI",2018,"C2","R1",71.066,3
"211","Jeffrey Managhan",34,"Bridgestone","Volkswagen","Golf GTI",2017,"C2","R1",72.41,3
"212","Christian Williams",35,"Bridgestone","Honda","Civic SI",2017,"C2","R1",70.888,1
"213","Nikhil Juturu",36,"Bridgestone","Honda","Civic SI",2018,"C2","R1",71.102,1
"214","Karl Shultz",37,"Bridgestone","Volkswagen","Golf GTI",2019,"C2","R1",71.907,3
"215","Mark Stevens",38,"Bridgestone","Volkswagen","Golf GTI",2018,"C2","R1",69.557,1
"216","Michael Bullis",39,"Bridgestone","Volkswagen","Golf GTI",2015,"C2","R1",70.613,1
"217","Anthony Oliveri",40,"Bridgestone","Ford","Focus ST",2013,"C2","R1",71.583,2
"218","Shawn Hale",41,"Bridgestone","Honda","Civic SI",2018,"C2","R1",72.009,2
"219","David Rudy",42,"Bridgestone","Honda","Civic SI",2017,"C2","R1",71.002,1
"220","Todd Forno",43,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R1",71.07,1
"221","Phil Osborne",44,"Bridgestone","Honda","Civic SI",2019,"C2","R1",72.474,2
"222","Jeff Britton",45,"Bridgestone","Volkswagen","Golf GTI",2015,"C2","R1",72.194,2
"223","Matt Morhardt",46,"Bridgestone","Subaru","Impreza",2006,"C2","R1",72.242,3
"224","Keith Koegler",47,"BFGoodrich","Ford","Focus ST",2015,"C2","R1",73.352,2
"225","Jeff Hahn",48,"Bridgestone","Ford","Focus ST",2013,"C2","R1",72.353,1
"226","Ed George",49,"Bridgestone","Honda","Civic SI",2019,"C2","R1",72.695,2
"227","Ben Woessner",50,"Bridgestone","Ford","Focus ST",2013,"C2","R1",72.229,2
"228","Sara Tessem",51,"Bridgestone","Volkswagen","Golf GTI",2015,"C2","R1",73.971,3
"229","Thomas Simon",52,"Bridgestone","Ford","Focus ST",2014,"C2","R1",72.547,2
"230","Mike Bronson",53,"Bridgestone","Ford","Focus ST",2016,"C2","R1",73.132,3
"231","Mark Steichen",54,"Bridgestone","Honda","Civic SI",2018,"C2","R1",72.277,1
"232","James Arthur",55,"Bridgestone","Ford","Focus ST",2017,"C2","R1",80.525,3
"233","Vernon Geddings",56,"Bridgestone","Honda","Civic SI",2017,"C2","R1",73.74,2
"234","Sarah Mitchell",57,"BFGoodrich","Volkswagen","Golf GTI",2016,"C2","R1",82.861,3
"235","Kwok Ling-Kam",58,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R1",78.529,3
"236","Justin Arnette",59,"Continental","Chevrolet","Malibu",2018,"C2","R1",80.617,3
"237","Ron Williams",1,"Bridgestone","Honda","Civic SI",2019,"C2","R2",68.373,1
"238","Lance Keeley",2,"BFGoodrich","Honda","Civic SI",2018,"C2","R2",68.317,2
"239","Eric Simmons",3,"BFGoodrich","Honda","Civic SI",2019,"C2","R2",68.872,2
"240","Dave Potocki",4,"Bridgestone","Honda","Civic SI",2019,"C2","R2",68.94,1
"241","Chris Kirkland",5,"Bridgestone","Ford","Focus ST",2013,"C2","R2",70.791,3
"242","Mike Herrick",6,"Bridgestone","Honda","Civic SI",2017,"C2","R2",68.674,1
"243","Nick Sloan",7,"Bridgestone","Honda","Civic SI",2017,"C2","R2",69.474,1
"244","Joe Blaha",8,"Bridgestone","Ford","Focus ST",2014,"C2","R2",69.872,2
"245","Chris Rudy",9,"Bridgestone","Honda","Civic SI",2017,"C2","R2",69.61,2
"246","Dan Cochran",10,"Bridgestone","Ford","Focus ST",2014,"C2","R2",69.61,1
"247","Jason Tipple",11,"Bridgestone","Honda","Civic SI",2019,"C2","R2",73.747,3
"248","Mike Casino",12,"Bridgestone","Ford","Focus ST",2013,"C2","R2",73.706,3
"249","Matt Luckow",13,"Bridgestone","Honda","Civic SI",2018,"C2","R2",71.89,3
"250","Brad Fiore",14,"Bridgestone","Volkswagen","Golf GTI",2017,"C2","R2",69.879,2
"251","Roy Handoko",15,"Bridgestone","Honda","Civic SI",2019,"C2","R2",69.326,2
"252","Jack Burns",16,"BFGoodrich","Honda","Civic SI",2019,"C2","R2",69.545,1
"253","Brian Anthony",17,"Bridgestone","Ford","Focus ST",2014,"C2","R2",69.497,2
"254","Patrice Bousquet",18,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R2",69.844,2
"255","Todd Freeman",19,"Bridgestone","Honda","Civic SI",2017,"C2","R2",69.694,2
"256","Christopher Higgins",20,"BFGoodrich","Honda","Civic SI",2017,"C2","R2",71.275,3
"257","Richard Verret",21,"BFGoodrich","Honda","Civic SI",2017,"C2","R2",69.732,2
"258","Shaun Bailey",22,"BFGoodrich","Volkswagen","Golf GTI",2016,"C2","R2",69.901,2
"259","Sam Karp",23,"BFGoodrich","Honda","Civic SI",2018,"C2","R2",0,NA
"260","Jeffrey Tattershall",24,"Bridgestone","Honda","Civic SI",2019,"C2","R2",0,NA
"261","Michael Waich",25,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R2",70.751,3
"262","John Azevedo",26,"Bridgestone","Honda","Civic SI",2019,"C2","R2",0,NA
"263","Alan Hamson",27,"Bridgestone","Honda","Civic SI",2019,"C2","R2",71.969,3
"264","Barbara Seeger",28,"Bridgestone","Honda","Civic SI",2018,"C2","R2",70.76,2
"265","Lee Piccione",29,"Bridgestone","Honda","Civic SI",2019,"C2","R2",70.466,2
"266","Robin Newborg",30,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R2",70.398,2
"267","Alex Bronson",31,"Bridgestone","Ford","Focus ST",2016,"C2","R2",70.956,2
"268","Chad Freeman",32,"Bridgestone","Honda","Civic SI",2018,"C2","R2",70.843,2
"269","Daniel Sato",33,"Bridgestone","Honda","Civic SI",2018,"C2","R2",70.452,1
"270","Jeffrey Managhan",34,"Bridgestone","Volkswagen","Golf GTI",2017,"C2","R2",70.594,1
"271","Christian Williams",35,"Bridgestone","Honda","Civic SI",2017,"C2","R2",71.008,2
"272","Nikhil Juturu",36,"Bridgestone","Honda","Civic SI",2018,"C2","R2",71.484,2
"273","Karl Shultz",37,"Bridgestone","Volkswagen","Golf GTI",2019,"C2","R2",71.819,2
"274","Mark Stevens",38,"Bridgestone","Volkswagen","Golf GTI",2018,"C2","R2",71.964,3
"275","Michael Bullis",39,"Bridgestone","Volkswagen","Golf GTI",2015,"C2","R2",71.165,2
"276","Anthony Oliveri",40,"Bridgestone","Ford","Focus ST",2013,"C2","R2",72.121,3
"277","Shawn Hale",41,"Bridgestone","Honda","Civic SI",2018,"C2","R2",70.332,1
"278","David Rudy",42,"Bridgestone","Honda","Civic SI",2017,"C2","R2",76.891,3
"279","Todd Forno",43,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R2",74.418,2
"280","Phil Osborne",44,"Bridgestone","Honda","Civic SI",2019,"C2","R2",70.777,1
"281","Jeff Britton",45,"Bridgestone","Volkswagen","Golf GTI",2015,"C2","R2",71.116,1
"282","Matt Morhardt",46,"Bridgestone","Subaru","Impreza",2006,"C2","R2",71.85,2
"283","Keith Koegler",47,"BFGoodrich","Ford","Focus ST",2015,"C2","R2",76.916,3
"284","Jeff Hahn",48,"Bridgestone","Ford","Focus ST",2013,"C2","R2",72.789,2
"285","Ed George",49,"Bridgestone","Honda","Civic SI",2019,"C2","R2",71.93,1
